industry_type,company_size,num_employees,electricity_kwh_per_month,renewable_energy_percent,diesel_litres_per_month,petrol_litres_per_month,natural_gas_m3_per_month,server_rack_count,num_servers_onprem,num_laptops,num_desktops,server_arrangement,server_area_sqft,cloud_provider,cloud_monthly_bill_inr,purchased_services_spend_inr_per_month,annual_revenue_inr_cr,electricity_level,scope1_tco2e_monthly,scope2_tco2e_monthly,scope3_tco2e_monthly,total_tco2e_monthly,scope1_pct,scope2_pct,scope3_pct,primary_recommendation,recommendation_priority,recommendation_label
Healthcare,medium,140,10449.1,30.9,20.4,4.4,2.9,39,23,140,40,stacked_high_density,1261.8,aws,11089.0,44213.0,29.45,high,0.0708,6.022,2.6848,8.7776,0.8,68.6,30.6,optimize_server_infrastructure,MEDIUM,2
Logistics,small,129,5558.3,21.0,1188.7,66.1,16.3,5,9,22,19,hot_aisle_cold_aisle,198.6,aws,17610.0,26581.0,12.07,medium,3.3717,3.6095,1.1526,8.1338,41.5,44.4,14.2,electrify_fleet_reduce_fuel,HIGH,3
IT,large,349,12491.9,21.3,2.6,13.3,3.1,9,9,349,91,hot_aisle_cold_aisle,449.5,aws,59869.0,33713.0,56.96,high,0.044,8.0775,6.3342,14.4557,0.3,55.9,43.8,hybrid_work_policy,MEDIUM,9
Logistics,medium,86,2924.9,9.3,1212.0,70.5,26.2,3,4,90,29,hot_aisle_cold_aisle,73.5,aws,15153.0,35320.0,5.21,low,3.4645,2.1807,1.9883,7.6334,45.4,28.6,26.0,electrify_fleet_reduce_fuel,HIGH,3
IT,medium,843,5464.8,50.7,24.4,19.2,4.5,0,4,843,59,hot_aisle_cold_aisle,319.6,aws,147131.0,78545.0,662.03,medium,0.1189,2.2092,11.0695,13.3976,0.9,16.5,82.6,reduce_cloud_carbon,MEDIUM,5
IT,large,356,11049.8,7.7,0.8,6.2,1.4,6,2,356,9,hot_aisle_cold_aisle,165.0,gcp,28335.0,69461.0,126.26,high,0.0193,8.3738,3.8678,12.2609,0.2,68.3,31.5,switch_to_renewables,HIGH,0
Data Centre,large,175,27036.0,26.2,47.1,45.9,0.9,27,18,175,53,hot_aisle_cold_aisle,1375.5,azure,83867.0,64594.0,92.38,very_high,0.2341,16.4089,4.4342,21.0772,1.1,77.9,21.0,reduce_electricity_consumption,HIGH,1
Finance,medium,49,13253.4,18.1,38.1,28.7,7.7,28,39,49,54,stacked_high_density,845.4,none,19049.0,28409.0,3.44,high,0.1841,8.9735,2.041,11.1985,1.6,80.1,18.2,optimize_server_infrastructure,MEDIUM,2
Finance,medium,225,10622.2,20.4,26.7,0.4,8.0,21,66,225,14,custom,1603.5,none,592.0,38903.0,88.63,high,0.0888,6.9755,2.4628,9.5271,0.9,73.2,25.9,adopt_cloud_migration,MEDIUM,4
IT,medium,31,3124.1,11.6,28.3,3.8,5.1,21,58,31,50,custom,1638.2,none,3977.0,57293.0,9.46,medium,0.095,2.3068,2.0239,4.4256,2.1,52.1,45.7,adopt_cloud_migration,MEDIUM,4
Finance,large,930,12808.5,27.3,2.5,13.7,3.1,4,6,930,24,hot_aisle_cold_aisle,493.6,aws,54373.0,37184.0,544.36,high,0.0447,7.6427,9.1123,16.7997,0.3,45.5,54.2,hybrid_work_policy,MEDIUM,9
Finance,small,140,7670.4,44.3,5.2,12.7,0.7,8,12,140,38,stacked_high_density,227.6,none,3680.0,24712.0,7.83,medium,0.0447,3.5242,2.3097,5.8786,0.8,59.9,39.3,improve_cooling_efficiency,LOW,6
IT,medium,258,11053.8,31.0,29.2,15.0,2.3,8,6,258,34,hot_aisle_cold_aisle,466.1,aws,25559.0,51117.0,69.6,high,0.1176,6.2684,3.7333,10.1193,1.2,61.9,36.9,hybrid_work_policy,MEDIUM,9
Logistics,medium,187,2991.6,2.2,1415.0,187.7,1.4,1,4,33,17,hot_aisle_cold_aisle,174.3,none,18656.0,30930.0,10.92,low,4.2286,2.4009,0.9576,7.5872,55.7,31.6,12.6,electrify_fleet_reduce_fuel,HIGH,3
IT,medium,883,11381.7,24.8,8.0,5.7,3.6,8,12,883,89,hot_aisle_cold_aisle,263.5,azure,40739.0,49231.0,345.58,high,0.042,7.0326,10.2868,17.3613,0.2,40.5,59.3,hybrid_work_policy,MEDIUM,9
IT,medium,542,11463.8,23.1,3.6,18.7,2.5,2,6,542,20,hot_aisle_cold_aisle,216.0,aws,22515.0,99051.0,151.47,high,0.0579,7.2324,5.9508,13.2411,0.4,54.6,44.9,hybrid_work_policy,MEDIUM,9
IT,medium,326,8260.6,42.3,7.5,18.0,7.5,28,31,326,60,hot_aisle_cold_aisle,509.5,none,4896.0,23307.0,93.73,high,0.077,3.958,4.3524,8.3874,0.9,47.2,51.9,adopt_cloud_migration,MEDIUM,4
Retail,large,527,4922.9,26.7,20.6,5.8,2.9,4,7,527,66,hot_aisle_cold_aisle,248.7,azure,269971.0,45968.0,71.8,medium,0.0745,2.966,9.9286,12.9692,0.6,22.9,76.6,reduce_cloud_carbon,MEDIUM,5
Healthcare,medium,476,6966.5,31.5,45.1,7.9,8.3,38,23,476,76,stacked_high_density,997.9,aws,9466.0,59728.0,151.03,medium,0.156,4.0118,6.3961,10.564,1.5,38.0,60.5,optimize_server_infrastructure,MEDIUM,2
Manufacturing,small,138,2180.2,26.3,1348.1,256.8,24.0,2,1,36,5,hot_aisle_cold_aisle,98.6,aws,676.0,12143.0,28.74,low,4.2551,1.3211,0.5244,6.1006,69.7,21.7,8.6,electrify_fleet_reduce_fuel,HIGH,3
Finance,medium,164,12322.9,22.3,9.8,5.3,2.6,32,18,164,12,stacked_high_density,1172.1,aws,11368.0,49371.0,14.57,high,0.0438,7.9345,2.1812,10.1595,0.4,78.1,21.5,optimize_server_infrastructure,MEDIUM,2
Finance,medium,362,7758.0,59.8,13.7,20.4,4.7,24,26,362,76,stacked_high_density,844.3,aws,1409.0,55920.0,85.56,medium,0.0934,2.6197,5.3419,8.0551,1.2,32.5,66.3,optimize_server_infrastructure,MEDIUM,2
IT,large,1731,73246.0,38.7,47.4,8.8,13.4,6,13,1731,215,custom,784.6,azure,32624.0,142523.0,1251.61,very_high,0.1747,36.8299,20.9661,57.9707,0.3,63.5,36.2,reduce_electricity_consumption,HIGH,1
Finance,medium,183,20493.1,5.7,48.4,23.5,3.3,4,12,183,11,hot_aisle_cold_aisle,145.6,gcp,29611.0,48194.0,65.29,very_high,0.1907,15.8536,2.3918,18.4361,1.0,86.0,13.0,switch_to_renewables,HIGH,0
IT,large,427,3966.7,55.8,6.1,16.2,3.5,0,5,427,28,hot_aisle_cold_aisle,204.3,none,3102.0,75407.0,78.62,medium,0.0609,1.4377,4.7243,6.2229,1.0,23.1,75.9,reduce_scope3_purchases,LOW,8
Finance,medium,92,2094.3,57.7,22.0,2.4,1.1,7,5,92,8,stacked_high_density,151.6,gcp,14809.0,17234.0,20.72,low,0.0667,0.7446,1.211,2.0224,3.3,36.8,59.9,improve_cooling_efficiency,LOW,6
Education,medium,41,6012.3,62.6,16.4,3.4,3.3,6,2,41,13,direct_liquid_cooling,269.4,none,1290.0,8574.0,2.95,medium,0.0585,1.8524,0.7365,2.6474,2.2,70.0,27.8,low_emission_maintain_practices,LOW,7
Retail,small,201,2245.3,13.4,601.2,176.8,17.0,1,5,51,19,hot_aisle_cold_aisle,140.4,aws,12565.0,5316.0,32.38,low,2.0543,1.5962,1.1365,4.787,42.9,33.3,23.7,electrify_fleet_reduce_fuel,HIGH,3
Data Centre,large,513,27570.5,23.8,32.0,36.4,16.1,7,34,513,192,custom,1238.5,azure,56772.0,187574.0,55.74,very_high,0.2027,17.2412,11.3988,28.8427,0.7,59.8,39.5,reduce_electricity_consumption,HIGH,1
Finance,medium,93,7948.5,32.6,25.4,19.1,0.9,6,7,93,28,stacked_high_density,136.7,none,24782.0,8580.0,16.66,medium,0.114,4.4086,1.5444,6.067,1.9,72.7,25.5,improve_cooling_efficiency,LOW,6
IT,large,309,21530.2,2.0,1.6,6.7,2.9,7,15,309,17,hot_aisle_cold_aisle,304.3,gcp,13394.0,48017.0,153.23,very_high,0.0257,17.3141,3.4008,20.7405,0.1,83.5,16.4,switch_to_renewables,HIGH,0
IT,large,334,20363.4,8.2,32.9,9.0,6.4,0,1,334,15,hot_aisle_cold_aisle,438.9,none,34305.0,44319.0,153.43,very_high,0.122,15.3288,3.3958,18.8466,0.6,81.3,18.0,switch_to_renewables,HIGH,0
IT,medium,328,7722.2,65.1,22.9,3.9,3.3,1,12,328,15,hot_aisle_cold_aisle,290.7,gcp,7139.0,132633.0,129.96,medium,0.0771,2.2117,4.1191,6.4079,1.2,34.5,64.3,reduce_scope3_purchases,LOW,8
Retail,large,741,6229.5,66.5,25.4,6.4,2.7,2,12,741,38,hot_aisle_cold_aisle,113.8,aws,464659.0,19788.0,299.78,medium,0.0884,1.7148,14.0001,15.8033,0.6,10.9,88.6,reduce_cloud_carbon,MEDIUM,5
Retail,large,844,9681.6,46.0,16.8,11.1,0.2,3,9,844,91,hot_aisle_cold_aisle,203.9,aws,168041.0,32135.0,320.58,high,0.0711,4.2923,11.8646,16.228,0.4,26.5,73.1,reduce_cloud_carbon,MEDIUM,5
Finance,medium,169,6939.0,20.8,1.7,20.3,2.2,30,37,169,16,stacked_high_density,1101.9,aws,11719.0,25416.0,11.55,medium,0.0559,4.5844,2.14,6.7803,0.8,67.6,31.6,optimize_server_infrastructure,MEDIUM,2
IT,large,305,23597.1,1.1,6.7,13.9,5.3,8,10,305,30,hot_aisle_cold_aisle,402.1,none,30633.0,60349.0,84.53,very_high,0.0609,19.1509,3.6904,22.9022,0.3,83.6,16.1,switch_to_renewables,HIGH,0
Finance,medium,237,3927.1,36.9,19.5,21.6,8.8,33,31,237,79,stacked_high_density,847.4,aws,15350.0,25613.0,40.11,medium,0.1201,2.1177,4.3978,6.6356,1.8,31.9,66.3,optimize_server_infrastructure,MEDIUM,2
Finance,medium,305,3706.1,24.1,7.7,5.1,6.1,12,68,305,45,custom,1539.1,none,1721.0,37230.0,23.69,medium,0.0449,2.3307,3.9014,6.277,0.7,37.1,62.2,adopt_cloud_migration,MEDIUM,4
Retail,medium,84,22723.5,2.2,35.6,24.9,7.6,10,12,84,15,hot_aisle_cold_aisle,156.9,none,31391.0,36262.0,7.05,very_high,0.1684,18.2411,1.3514,19.7609,0.9,92.3,6.8,switch_to_renewables,HIGH,0
Logistics,small,35,1129.1,2.6,506.0,267.4,17.4,4,4,44,6,hot_aisle_cold_aisle,155.4,aws,1266.0,29213.0,3.64,low,2.0093,0.9089,0.7596,3.6777,54.6,24.7,20.7,electrify_fleet_reduce_fuel,HIGH,3
IT,large,89,10678.9,66.3,12.1,10.9,0.2,1,1,89,41,hot_aisle_cold_aisle,187.6,aws,481909.0,63880.0,24.96,high,0.058,2.9528,9.527,12.5377,0.5,23.6,76.0,reduce_cloud_carbon,MEDIUM,5
Data Centre,large,1234,93673.8,21.6,66.1,14.9,1.9,17,46,1234,190,custom,561.1,azure,10343.0,63144.0,835.08,very_high,0.2154,60.2551,15.4341,75.9046,0.3,79.4,20.3,reduce_electricity_consumption,HIGH,1
Manufacturing,large,1667,86750.5,16.4,86.0,45.6,12.7,18,27,1667,260,custom,1398.3,azure,71817.0,85419.0,444.99,very_high,0.3617,59.5053,21.7195,81.5866,0.4,72.9,26.6,reduce_electricity_consumption,HIGH,1
IT,large,1463,55190.7,27.3,31.2,16.2,12.6,6,45,1463,183,hot_aisle_cold_aisle,730.6,gcp,36893.0,104064.0,199.64,very_high,0.1467,32.912,17.5827,50.6415,0.3,65.0,34.7,reduce_electricity_consumption,HIGH,1
Manufacturing,medium,203,3004.7,6.2,1103.4,198.4,21.6,1,5,54,12,hot_aisle_cold_aisle,74.2,none,9253.0,28605.0,31.8,medium,3.4595,2.3129,0.9733,6.7457,51.3,34.3,14.4,electrify_fleet_reduce_fuel,HIGH,3
Healthcare,medium,118,7571.2,25.9,5.0,11.7,1.7,19,32,118,23,custom,833.8,none,401.0,39280.0,12.87,medium,0.0439,4.6386,1.856,6.5384,0.7,70.9,28.4,adopt_cloud_migration,MEDIUM,4
Finance,medium,283,10440.0,29.6,25.1,16.3,3.9,15,14,283,47,hot_aisle_cold_aisle,420.8,gcp,22211.0,73100.0,159.73,high,0.1129,6.0534,4.2669,10.4331,1.1,58.0,40.9,hybrid_work_policy,MEDIUM,9
Retail,large,724,6419.9,30.4,29.1,15.1,2.7,4,3,724,72,hot_aisle_cold_aisle,297.7,aws,420579.0,44785.0,245.98,medium,0.1184,3.6711,14.3018,18.0913,0.7,20.3,79.1,reduce_cloud_carbon,MEDIUM,5
Education,large,820,14020.9,57.1,28.0,3.3,4.7,13,7,820,43,hot_aisle_cold_aisle,564.5,azure,76304.0,40920.0,210.45,high,0.0923,4.9553,8.9871,14.0346,0.7,35.3,64.0,hybrid_work_policy,MEDIUM,9
Finance,medium,172,19983.6,6.2,24.5,14.4,5.6,4,9,172,3,hot_aisle_cold_aisle,329.4,none,44788.0,37617.0,35.31,very_high,0.1103,15.3777,1.7424,17.2304,0.6,89.2,10.1,switch_to_renewables,HIGH,0
Finance,medium,214,18656.0,8.0,24.4,16.2,6.2,3,9,214,7,hot_aisle_cold_aisle,398.7,none,48917.0,63226.0,78.48,very_high,0.1155,14.0794,2.3855,16.5803,0.7,84.9,14.4,switch_to_renewables,HIGH,0
Education,medium,923,14177.9,44.8,23.9,16.2,4.4,5,6,923,56,hot_aisle_cold_aisle,587.2,aws,16779.0,38473.0,366.65,high,0.1105,6.4263,9.348,15.8848,0.7,40.5,58.8,hybrid_work_policy,MEDIUM,9
Education,medium,287,14308.0,34.6,24.4,14.2,0.9,8,14,287,97,hot_aisle_cold_aisle,315.2,aws,44621.0,36446.0,96.95,high,0.1,7.6873,5.7947,13.582,0.7,56.6,42.7,hybrid_work_policy,MEDIUM,9
IT,medium,129,5308.5,32.8,9.6,7.9,1.9,6,5,129,46,hot_aisle_cold_aisle,352.4,none,2122.0,153605.0,9.4,medium,0.0479,2.9358,3.4649,6.4486,0.7,45.5,53.7,reduce_scope3_purchases,LOW,8
Education,small,390,3034.2,96.1,9.5,5.3,0.1,6,1,390,12,hot_aisle_cold_aisle,215.5,none,29748.0,23334.0,111.48,medium,0.0379,0.1077,3.5923,3.7378,1.0,2.9,96.1,low_emission_maintain_practices,LOW,7
Data Centre,large,1757,21677.3,36.9,76.4,28.4,1.9,30,39,1757,74,custom,827.7,gcp,73919.0,119809.0,460.66,very_high,0.2742,11.2765,17.4928,29.0435,0.9,38.8,60.2,reduce_electricity_consumption,HIGH,1
IT,large,500,3765.8,67.2,2.1,3.3,4.0,4,10,500,31,hot_aisle_cold_aisle,349.4,gcp,36788.0,168866.0,84.96,medium,0.0214,1.0199,6.4604,7.5018,0.3,13.6,86.1,reduce_scope3_purchases,LOW,8
IT,medium,256,7726.1,44.4,38.4,13.7,4.0,14,57,256,25,custom,1437.5,none,902.0,56783.0,83.26,medium,0.1427,3.5506,3.1418,6.8351,2.1,51.9,46.0,adopt_cloud_migration,MEDIUM,4
Retail,medium,291,11297.2,7.0,17.6,28.7,6.5,2,7,291,3,hot_aisle_cold_aisle,158.6,gcp,8675.0,20701.0,113.96,high,0.1267,8.6188,2.6276,11.3731,1.1,75.8,23.1,switch_to_renewables,HIGH,0
IT,medium,115,6433.3,44.1,21.5,13.1,0.1,4,2,115,13,hot_aisle_cold_aisle,297.4,gcp,17573.0,224658.0,33.43,medium,0.0881,2.956,3.2094,6.2535,1.4,47.3,51.3,reduce_scope3_purchases,LOW,8
IT,medium,40,24127.6,3.6,14.3,21.4,7.7,6,12,40,2,hot_aisle_cold_aisle,356.2,gcp,13873.0,31693.0,11.2,very_high,0.1035,19.083,0.748,19.9345,0.5,95.7,3.8,switch_to_renewables,HIGH,0
Finance,medium,43,3063.4,26.1,28.6,17.0,6.0,13,72,43,13,custom,1713.0,none,1097.0,48967.0,11.02,medium,0.1282,1.8825,1.0755,3.0861,4.2,61.0,34.8,adopt_cloud_migration,MEDIUM,4
IT,large,891,28848.0,22.9,96.5,42.9,12.9,26,23,891,118,custom,1172.6,gcp,10801.0,186727.0,492.87,very_high,0.384,18.2905,11.7629,30.4375,1.3,60.1,38.6,reduce_electricity_consumption,HIGH,1
Finance,large,203,13794.8,46.3,17.6,13.1,4.9,7,11,203,59,hot_aisle_cold_aisle,278.2,azure,49469.0,56299.0,30.33,high,0.0874,6.0868,4.2836,10.4578,0.8,58.2,41.0,hybrid_work_policy,MEDIUM,9
Finance,large,382,8029.8,8.3,26.9,21.6,7.4,10,6,382,11,hot_aisle_cold_aisle,272.5,none,31158.0,56437.0,40.52,high,0.1371,6.0556,3.7673,9.9601,1.4,60.8,37.8,switch_to_renewables,HIGH,0
Retail,medium,156,1822.2,5.7,1280.1,65.9,27.1,4,4,17,18,hot_aisle_cold_aisle,84.1,aws,9285.0,23793.0,38.28,low,3.6382,1.4161,0.9395,5.9938,60.7,23.6,15.7,electrify_fleet_reduce_fuel,HIGH,3
Manufacturing,large,1554,72311.0,35.8,53.4,43.9,8.4,5,43,1554,77,hot_aisle_cold_aisle,947.5,aws,70323.0,79985.0,971.45,very_high,0.2617,38.0763,16.0352,54.3731,0.5,70.0,29.5,reduce_electricity_consumption,HIGH,1
Healthcare,medium,385,9697.9,33.4,28.9,11.8,5.2,16,52,385,23,custom,811.4,none,1491.0,19192.0,58.86,high,0.1153,5.3283,3.8099,9.2536,1.2,57.6,41.2,adopt_cloud_migration,MEDIUM,4
Education,medium,316,10188.1,48.7,16.6,11.9,1.4,9,16,316,48,hot_aisle_cold_aisle,447.6,azure,73527.0,22228.0,78.4,high,0.0748,4.3017,4.9404,9.3169,0.8,46.2,53.0,hybrid_work_policy,MEDIUM,9
Education,medium,965,10785.3,58.7,22.7,0.1,2.1,2,20,965,85,hot_aisle_cold_aisle,321.0,azure,57341.0,42521.0,421.75,high,0.0654,3.6561,11.0011,14.7225,0.4,24.8,74.7,hybrid_work_policy,MEDIUM,9
Manufacturing,large,1788,76217.4,15.8,93.9,28.6,10.7,25,12,1788,183,hot_aisle_cold_aisle,1067.7,aws,89000.0,86858.0,852.0,very_high,0.3395,52.6678,21.022,74.0294,0.5,71.1,28.4,reduce_electricity_consumption,HIGH,1
Education,medium,392,11040.6,37.6,20.8,6.9,2.4,10,18,392,32,hot_aisle_cold_aisle,351.8,gcp,27652.0,79462.0,77.72,high,0.0766,5.667,4.834,10.5775,0.7,53.6,45.7,hybrid_work_policy,MEDIUM,9
Data Centre,large,911,63358.8,38.4,83.2,9.7,16.7,26,40,911,284,custom,1655.3,gcp,22218.0,73308.0,384.84,very_high,0.2795,32.056,15.4991,47.8346,0.6,67.0,32.4,reduce_electricity_consumption,HIGH,1
Finance,medium,134,2248.8,30.5,15.5,16.9,4.5,7,5,134,13,stacked_high_density,207.6,gcp,28906.0,7615.0,18.6,low,0.0898,1.2998,1.7256,3.1151,2.9,41.7,55.4,improve_cooling_efficiency,LOW,6
IT,medium,198,4610.0,17.9,21.9,6.5,1.7,12,5,198,6,stacked_high_density,352.3,none,971.0,9019.0,24.93,medium,0.0772,3.1347,1.7987,5.0106,1.5,62.6,35.9,improve_cooling_efficiency,LOW,6
Manufacturing,small,35,5454.4,4.1,1442.0,190.8,0.4,3,3,88,34,hot_aisle_cold_aisle,63.4,none,13087.0,11008.0,2.57,medium,4.3061,4.2945,1.6826,10.2833,41.9,41.8,16.4,electrify_fleet_reduce_fuel,HIGH,3
IT,medium,799,12860.5,22.6,18.1,17.0,0.7,3,20,799,35,hot_aisle_cold_aisle,405.3,azure,14209.0,66803.0,281.7,high,0.0892,8.1676,7.9783,16.2351,0.5,50.3,49.1,hybrid_work_policy,MEDIUM,9
Finance,large,470,12731.1,8.6,21.1,25.0,4.7,8,1,470,30,hot_aisle_cold_aisle,240.0,gcp,39062.0,55623.0,183.02,high,0.1239,9.5559,5.3109,14.9907,0.8,63.7,35.4,switch_to_renewables,HIGH,0
Finance,medium,179,2919.9,28.0,23.7,0.6,0.8,14,5,179,40,stacked_high_density,320.4,none,23831.0,35230.0,48.6,low,0.0665,1.7603,2.7555,4.5823,1.5,38.4,60.1,improve_cooling_efficiency,LOW,6
Education,large,692,14657.7,45.3,4.0,11.6,2.6,8,13,692,96,hot_aisle_cold_aisle,361.6,gcp,23788.0,36689.0,169.3,high,0.0428,6.5887,8.5226,15.1542,0.3,43.5,56.2,hybrid_work_policy,MEDIUM,9
Finance,medium,435,8727.6,10.2,22.5,25.0,1.3,47,29,435,22,stacked_high_density,974.3,aws,12605.0,37304.0,47.04,high,0.1207,6.5488,4.5135,11.183,1.1,58.6,40.4,optimize_server_infrastructure,MEDIUM,2
Manufacturing,medium,280,1047.6,15.7,556.0,248.7,23.3,1,7,80,20,hot_aisle_cold_aisle,58.9,none,12265.0,18595.0,71.75,low,2.1121,0.7259,1.3104,4.1484,50.9,17.5,31.6,electrify_fleet_reduce_fuel,HIGH,3
IT,large,713,80099.1,31.9,59.7,39.8,11.0,11,36,713,275,custom,971.1,aws,74344.0,146899.0,484.77,very_high,0.2744,44.751,15.1973,60.2227,0.5,74.3,25.2,reduce_electricity_consumption,HIGH,1
Finance,medium,252,5019.5,42.6,35.6,18.3,7.5,19,79,252,34,hot_aisle_cold_aisle,2335.2,none,1527.0,18885.0,25.33,medium,0.153,2.3962,3.0445,5.5937,2.7,42.8,54.4,adopt_cloud_migration,MEDIUM,4
IT,small,149,4801.7,56.9,21.2,16.1,2.7,7,10,149,7,stacked_high_density,155.1,gcp,20375.0,16848.0,20.73,medium,0.0995,1.7152,1.683,3.4978,2.8,49.0,48.1,improve_cooling_efficiency,LOW,6
IT,medium,88,2041.4,27.3,22.0,10.9,4.9,5,5,88,29,hot_aisle_cold_aisle,377.9,none,28768.0,58622.0,23.18,low,0.0941,1.2258,1.9315,3.2515,2.9,37.7,59.4,reduce_scope3_purchases,LOW,8
Retail,large,711,9363.7,29.4,16.7,3.8,1.9,7,3,711,86,hot_aisle_cold_aisle,323.9,azure,265546.0,76678.0,71.84,high,0.0574,5.4332,12.0998,17.5905,0.3,30.9,68.8,reduce_cloud_carbon,MEDIUM,5
Manufacturing,large,1039,29552.9,13.7,88.6,30.2,15.8,25,49,1039,281,hot_aisle_cold_aisle,1282.8,gcp,86950.0,62971.0,727.18,very_high,0.3394,20.9577,16.9336,38.2307,0.9,54.8,44.3,reduce_electricity_consumption,HIGH,1
Data Centre,large,1956,45472.9,12.0,17.0,32.9,11.2,14,16,1956,170,hot_aisle_cold_aisle,1559.6,gcp,82751.0,164438.0,446.26,very_high,0.1444,32.838,22.0398,55.0222,0.3,59.7,40.1,reduce_electricity_consumption,HIGH,1
Finance,large,142,5417.0,51.5,5.4,5.2,2.0,8,13,142,38,hot_aisle_cold_aisle,112.7,none,4100.0,260526.0,11.67,medium,0.0306,2.1685,4.212,6.4111,0.5,33.8,65.7,reduce_scope3_purchases,LOW,8
Retail,large,583,10493.7,43.9,8.5,12.3,3.1,0,10,583,30,hot_aisle_cold_aisle,379.0,aws,142583.0,18697.0,172.22,high,0.0575,4.8273,7.6977,12.5825,0.5,38.4,61.2,reduce_cloud_carbon,MEDIUM,5
Manufacturing,small,285,2343.2,24.4,1178.8,74.6,23.8,3,0,80,17,hot_aisle_cold_aisle,76.0,none,5306.0,24397.0,57.47,low,3.3801,1.4579,1.2776,6.1155,55.3,23.8,20.9,electrify_fleet_reduce_fuel,HIGH,3
Logistics,small,242,1407.8,0.9,1293.8,199.2,26.0,5,7,59,12,hot_aisle_cold_aisle,51.7,none,16357.0,11627.0,35.31,low,3.9806,1.1529,0.8771,6.0105,66.2,19.2,14.6,electrify_fleet_reduce_fuel,HIGH,3
IT,medium,78,7308.7,46.5,29.5,18.5,1.9,9,10,78,19,stacked_high_density,211.6,none,14401.0,28790.0,19.86,medium,0.1257,3.2297,1.3497,4.7051,2.7,68.6,28.7,improve_cooling_efficiency,LOW,6
Retail,large,421,19252.2,4.4,9.5,6.5,0.6,8,1,421,23,hot_aisle_cold_aisle,225.4,gcp,29209.0,45200.0,182.6,very_high,0.0417,15.1064,4.566,19.7141,0.2,76.6,23.2,switch_to_renewables,HIGH,0
Finance,large,373,9499.1,7.6,12.2,17.7,5.2,6,9,373,23,hot_aisle_cold_aisle,235.8,none,38956.0,15347.0,124.94,high,0.0842,7.2079,3.6841,10.9762,0.8,65.7,33.6,switch_to_renewables,HIGH,0
Data Centre,large,339,96320.3,35.0,81.3,28.7,13.9,17,46,339,173,hot_aisle_cold_aisle,1587.7,azure,71344.0,184479.0,238.46,very_high,0.3125,51.3688,9.6911,61.3724,0.5,83.7,15.8,reduce_electricity_consumption,HIGH,1
Finance,small,27,2766.4,48.2,5.4,0.1,0.8,7,8,27,28,stacked_high_density,120.9,none,27845.0,13483.0,6.93,low,0.0163,1.1932,1.0609,2.2705,0.7,52.6,46.7,improve_cooling_efficiency,LOW,6
Finance,medium,659,3011.6,24.6,21.8,11.1,2.3,1,7,659,57,hot_aisle_cold_aisle,367.0,aws,381813.0,75521.0,225.98,medium,0.0888,1.8638,13.0554,15.008,0.6,12.4,87.0,reduce_cloud_carbon,MEDIUM,5
Healthcare,medium,244,3756.4,57.8,43.3,3.9,2.1,51,28,244,70,stacked_high_density,1182.0,none,17625.0,35124.0,70.68,medium,0.1293,1.4324,4.0615,5.6232,2.3,25.5,72.2,optimize_server_infrastructure,MEDIUM,2
Retail,small,138,1948.9,26.4,1146.9,146.0,29.2,0,0,88,21,hot_aisle_cold_aisle,67.2,none,8831.0,18101.0,28.68,low,3.4705,1.1762,1.3962,6.0429,57.4,19.5,23.1,electrify_fleet_reduce_fuel,HIGH,3
Manufacturing,large,1223,53931.1,22.7,89.8,15.3,15.8,12,40,1223,145,custom,1608.6,aws,23350.0,92657.0,940.91,very_high,0.3082,34.2089,14.6057,49.1228,0.6,69.6,29.7,reduce_electricity_consumption,HIGH,1
Finance,medium,591,3538.0,56.2,16.1,19.3,0.4,3,2,591,51,hot_aisle_cold_aisle,127.6,aws,200069.0,40319.0,280.37,medium,0.0885,1.276,9.3507,10.7153,0.8,11.9,87.3,reduce_cloud_carbon,MEDIUM,5
IT,medium,223,5541.6,27.7,24.3,7.8,3.4,8,7,223,46,hot_aisle_cold_aisle,311.9,none,1384.0,153746.0,23.35,medium,0.0901,3.2996,4.2105,7.6002,1.2,43.4,55.4,reduce_scope3_purchases,LOW,8
Education,medium,957,14701.6,52.4,29.3,19.7,2.9,4,12,957,20,hot_aisle_cold_aisle,591.3,aws,49204.0,37948.0,153.44,high,0.1299,5.7454,9.1491,15.0244,0.9,38.2,60.9,hybrid_work_policy,MEDIUM,9
Finance,small,491,6923.3,68.6,6.0,1.4,4.5,4,7,491,15,direct_liquid_cooling,239.3,none,6346.0,17189.0,65.17,medium,0.0285,1.7883,4.4222,6.239,0.5,28.7,70.9,low_emission_maintain_practices,LOW,7
Data Centre,large,1269,83038.5,27.1,62.0,6.0,15.1,10,20,1269,298,hot_aisle_cold_aisle,1674.4,aws,13841.0,61755.0,733.72,very_high,0.2108,49.6565,18.6193,68.4866,0.3,72.5,27.2,reduce_electricity_consumption,HIGH,1
IT,large,408,56954.8,13.7,31.2,40.0,20.0,19,12,408,134,hot_aisle_cold_aisle,1734.0,aws,15043.0,166348.0,61.19,very_high,0.2168,40.3383,8.3254,48.8805,0.4,82.5,17.0,reduce_electricity_consumption,HIGH,1
Retail,medium,303,5540.6,39.4,19.8,1.9,4.5,7,10,303,81,hot_aisle_cold_aisle,113.0,azure,315771.0,28738.0,120.51,medium,0.0666,2.7656,9.031,11.8632,0.6,23.3,76.1,reduce_cloud_carbon,MEDIUM,5
